timestamp,value,sensor_id
2024-06-01 00:00:00,20.8594,TEMP-001
2024-06-01 00:00:30,20.4538,TEMP-001
2024-06-01 00:01:00,20.9887,TEMP-001
2024-06-01 00:01:30,21.0436,TEMP-001
2024-06-01 00:02:00,20.174,TEMP-001
2024-06-01 00:02:30,20.3665,TEMP-001
2024-06-01 00:03:00,20.7934,TEMP-001
2024-06-01 00:03:30,20.658,TEMP-001
2024-06-01 00:04:00,20.7457,TEMP-001
2024-06-01 00:04:30,20.4927,TEMP-001
2024-06-01 00:05:00,21.0104,TEMP-001
2024-06-01 00:05:30,20.9778,TEMP-001
2024-06-01 00:06:00,20.7622,TEMP-001
2024-06-01 00:06:30,21.0785,TEMP-001
2024-06-01 00:07:00,20.8785,TEMP-001
2024-06-01 00:07:30,20.4784,TEMP-001
2024-06-01 00:08:00,20.8447,TEMP-001
2024-06-01 00:08:30,20.4444,TEMP-001
2024-06-01 00:09:00,20.9936,TEMP-001
2024-06-01 00:09:30,20.713,TEMP-001
2024-06-01 00:10:00,20.6705,TEMP-001
2024-06-01 00:10:30,20.5197,TEMP-001
2024-06-01 00:11:00,21.0887,TEMP-001
2024-06-01 00:11:30,20.6736,TEMP-001
2024-06-01 00:12:00,20.5895,TEMP-001
2024-06-01 00:12:30,20.6104,TEMP-001
2024-06-01 00:13:00,20.8737,TEMP-001
2024-06-01 00:13:30,20.8217,TEMP-001
2024-06-01 00:14:00,20.834,TEMP-001
2024-06-01 00:14:30,28.7871,TEMP-001
2024-06-01 00:15:00,21.3487,TEMP-001
2024-06-01 00:15:30,20.5824,TEMP-001
2024-06-01 00:16:00,20.5487,TEMP-001
2024-06-01 00:16:30,20.4564,TEMP-001
2024-06-01 00:17:00,20.8834,TEMP-001
2024-06-01 00:17:30,21.0354,TEMP-001
2024-06-01 00:18:00,20.6606,TEMP-001
2024-06-01 00:18:30,20.4409,TEMP-001
2024-06-01 00:19:00,20.4437,TEMP-001
2024-06-01 00:19:30,20.8844,TEMP-001
2024-06-01 00:20:00,20.9104,TEMP-001
